source_id,method,session_group,scan_id,format,relative_path,include_in_reference,notes
synthseg_2018_t1,SynthSeg,2018_primary_t1,2018_ge_fspgr,synthseg_wide,vol/vol_2018_ge_fspgr.csv,1,Primary 2018 SynthSeg baseline.
tigerbx_2018_t1,TIGERBx,2018_primary_t1,kate_2018_t1,tigerbx_long,asian_mri_tools/tigerbx/summary/tigerbx_label_volumes.csv,1,TIGERBx bmadq 2018 T1.
synthseg_2022_t1,SynthSeg,2022_primary_t1,2022_sie_t1se,synthseg_wide,vol/vol_2022_sie_t1se.csv,1,Primary 2022 SynthSeg baseline; thick-slice input.
tigerbx_2022_t1,TIGERBx,2022_primary_t1,kate_2022_t1,tigerbx_long,asian_mri_tools/tigerbx/summary/tigerbx_label_volumes.csv,1,TIGERBx bmadq 2022 T1; thick-slice input.
synthseg_2024_3di,SynthSeg,2024_t1like,2024_phi_3di,synthseg_wide,vol/vol_2024_phi_3di.csv,0,2024 3DI is included as evaluated source but excluded from trusted pseudo-GT because it is a known stress/failure-prone contrast.
tigerbx_2024_3di,TIGERBx,2024_t1like,kate_2024_3di,tigerbx_long,asian_mri_tools/tigerbx/summary/tigerbx_label_volumes.csv,0,TIGERBx 2024 3DI has high tBET QC but low ASEG total; evaluate against FFE consensus.
synthseg_2024_t1ffe_ax,SynthSeg,2024_t1like,2024_phi_t1ffe_ax,synthseg_wide,vol/vol_2024_phi_t1ffe_ax.csv,1,2024 T1 FFE axial candidate for trusted 2024 pseudo-GT.
synthseg_2024_t1ffe_sag,SynthSeg,2024_t1like,2024_phi_t1ffe_sag,synthseg_wide,vol/vol_2024_phi_t1ffe_sag.csv,1,2024 T1 FFE sagittal candidate for trusted 2024 pseudo-GT.
tigerbx_2024_t1ffe_401,TIGERBx,2024_t1like,kate_2024_t1_ffe_401,tigerbx_long,asian_mri_tools/tigerbx/summary/tigerbx_label_volumes.csv,1,2024 T1 FFE 401 candidate for trusted 2024 pseudo-GT.
tigerbx_2024_t1ffe_601,TIGERBx,2024_t1like,kate_2024_t1_ffe_601,tigerbx_long,asian_mri_tools/tigerbx/summary/tigerbx_label_volumes.csv,1,2024 T1 FFE 601 candidate for trusted 2024 pseudo-GT.
