dataset,branch,metric_family,metric,value,unit,comparison,source_file,interpretation
kate_n1_2026,synthseg_rotation_tta,rotation_floor,median_tta_cv,1.24,percent,9-angle sweep -12 to +12 degrees,docs/kate_n1_2026/synthseg_rotation_tta_report.md,orientation response floor after averaging over rotations
kate_n1_2026,synthseg_rotation_tta,rotation_floor,plus_minus_3deg_floor,1.43,percent,+/-3 degree pair,docs/kate_n1_2026/synthseg_rotation_tta_report.md,processing floor for same scan under synthetic rotation
kate_n1_2026,synthseg_rotation_tta,rotation_floor,interpolation_only_floor,0.05,percent,+3 degree label-map rotation only,docs/kate_n1_2026/synthseg_rotation_tta_report.md,physics/interpolation component without model rerun
kate_n1_2026,synthseg_rotation_tta,rotation_floor,model_instability_component,1.36,percent,+3 degree model rerun,docs/kate_n1_2026/synthseg_rotation_tta_report.md,non-equivariant model component of orientation floor
kate_n1_2026,synthseg_cross_scanner,scanner_protocol_spread,median_cross_scanner_spread,16.7,percent,2018 vs 2022 vs 2024,docs/kate_n1_2026/brain_mri_segmentation_master_plan.md,cross-scanner/protocol variability dominates processing floor
kate_n1_2026,fastsurfer_rotation,rotation_floor,median_floor,1.48,percent,+/-3 degree pair,docs/kate_n1_2026/fastsurfer_rotation_stability_report.md,ordinary FastSurfer rotation floor on 2018 scan
kate_n1_2026,fastsurfer_rotation,rotation_floor,synthseg_comparator_median_floor,1.43,percent,+/-3 degree pair,docs/kate_n1_2026/fastsurfer_rotation_stability_report.md,SynthSeg comparator floor on same rotation pair
kate_n1_2026,fastsurfer_long_symmetry,subcortical_volumes,cross_median_cv,0.24,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,cross-sectional FastSurfer rotation repeatability
kate_n1_2026,fastsurfer_long_symmetry,subcortical_volumes,long_median_cv,0.12,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,FastSurfer Long improves subcortical rotation repeatability
kate_n1_2026,fastsurfer_long_symmetry,cortical_dkt_parcel_volumes,cross_median_cv,0.36,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,cross-sectional DKT cortical volume rotation repeatability
kate_n1_2026,fastsurfer_long_symmetry,cortical_dkt_parcel_volumes,long_median_cv,0.10,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,FastSurfer Long improves DKT cortical volume rotation repeatability
kate_n1_2026,fastsurfer_long_symmetry,hypvinn_volumes,cross_median_cv,1.53,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,cross-sectional HypVINN rotation repeatability
kate_n1_2026,fastsurfer_long_symmetry,hypvinn_volumes,long_median_cv,0.80,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,FastSurfer Long improves HypVINN rotation repeatability
kate_n1_2026,fs7_longitudinal,subcortical_volumes,cross_median_cv,9.18,percent,2018 vs 2022,docs/kate_n1_2026/fs_long_consistency_report.md,FS7 cross-sectional subcortical scan-to-scan variability
kate_n1_2026,fs7_longitudinal,subcortical_volumes,long_median_cv,10.46,percent,2018.long vs 2022.long,docs/kate_n1_2026/fs_long_consistency_report.md,FS7 longitudinal subcortical result is mixed under 2022 thick-slice mismatch
kate_n1_2026,fs7_longitudinal,subcortical_volumes,regions_improved,7,count,12 regions,docs/kate_n1_2026/fs_long_consistency_report.md,subcortical regions improved by FS7 longitudinal stream
kate_n1_2026,fs7_longitudinal,cortical_thickness,cross_regional_median_cv,10.50,percent,2018 vs 2022,docs/kate_n1_2026/fs_long_consistency_report.md,FS7 cross-sectional regional cortical thickness variability
kate_n1_2026,fs7_longitudinal,cortical_thickness,long_regional_median_cv,5.83,percent,2018.long vs 2022.long,docs/kate_n1_2026/fs_long_consistency_report.md,FS7 longitudinal improves regional cortical thickness consistency
kate_n1_2026,fs7_longitudinal,cortical_thickness,regions_improved,43,count,68 regions,docs/kate_n1_2026/fs_long_consistency_report.md,cortical thickness regions improved by FS7 longitudinal stream
kate_n1_2026,fs7_longitudinal,cortex_volume,cross_cv,21.19,percent,2018 vs 2022,docs/kate_n1_2026/fs_long_consistency_report.md,cross-sectional cortex volume variability
kate_n1_2026,fs7_longitudinal,cortex_volume,long_cv,1.88,percent,2018.long vs 2022.long,docs/kate_n1_2026/fs_long_consistency_report.md,FS7 longitudinal strongly stabilizes cortex volume
kate_n1_2026,brainfm_feature_qc,feature_distance,all_pairs_median,0.074258036,cosine_distance,55 BrainFM feature-summary scan pairs,docs/kate_n1_2026/brainfm_feature_qc_summary.md,foundation-model feature distance only; not segmentation or morphometry validation
kate_n1_2026,brainfm_feature_qc,feature_distance,same_session_same_family_median,0.043883070,cosine_distance,3 same-session broad-modality-family pairs,docs/kate_n1_2026/brainfm_feature_qc_summary.md,protocol-near BrainFM feature contrast; not repeatability proof
kate_n1_2026,brainfm_feature_qc,feature_distance,primary_probe_trio_median,0.175863450,cosine_distance,2018 T1 vs 2022 T1 vs 2024 3DI,docs/kate_n1_2026/brainfm_feature_qc_summary.md,mixes time scanner contrast and slice protocol
kate_n1_2026,brainfm_feature_qc,feature_distance,2024_3di_vs_ffe_median,0.057413098,cosine_distance,2024 3DI vs 2024 FFE 401/601,docs/kate_n1_2026/brainfm_feature_qc_summary.md,QC contrast for 2024 candidates; not 3DI segmentation rescue validation
