evidence_domain,method_family,branch,metric_family,metric,value,unit,comparison,source_file,decision,uncertainty_use,limitation
test_time_augmentation,SynthSeg,synthseg_rotation_tta,rotation_floor,median_tta_cv,1.24,percent,9-angle sweep -12 to +12 degrees,docs/kate_n1_2026/synthseg_rotation_tta_report.md,use_as_primary_tta_volume_floor,per_structure_rotation_cv_and_tta_mean,Same-model TTA captures orientation instability but cannot remove systematic model bias.
test_time_augmentation,SynthSeg,synthseg_rotation_tta,rotation_floor,plus_minus_3deg_floor,1.43,percent,+/-3 degree pair,docs/kate_n1_2026/synthseg_rotation_tta_report.md,use_as_primary_tta_volume_floor,per_structure_rotation_cv_and_tta_mean,Same-model TTA captures orientation instability but cannot remove systematic model bias.
test_time_augmentation,SynthSeg,synthseg_rotation_tta,rotation_floor,interpolation_only_floor,0.05,percent,+3 degree label-map rotation only,docs/kate_n1_2026/synthseg_rotation_tta_report.md,use_as_primary_tta_volume_floor,per_structure_rotation_cv_and_tta_mean,Same-model TTA captures orientation instability but cannot remove systematic model bias.
test_time_augmentation,SynthSeg,synthseg_rotation_tta,rotation_floor,model_instability_component,1.36,percent,+3 degree model rerun,docs/kate_n1_2026/synthseg_rotation_tta_report.md,use_as_primary_tta_volume_floor,per_structure_rotation_cv_and_tta_mean,Same-model TTA captures orientation instability but cannot remove systematic model bias.
scanner_protocol_sensitivity,SynthSeg,synthseg_cross_scanner,scanner_protocol_spread,median_cross_scanner_spread,16.7,percent,2018 vs 2022 vs 2024,docs/kate_n1_2026/brain_mri_segmentation_master_plan.md,do_not_interpret_cross_protocol_change_without_uncertainty,scanner_protocol_spread_context,"Mixes scanner, time, protocol, and possible biology."
rotation_repeatability,FastSurfer,fastsurfer_rotation,rotation_floor,median_floor,1.48,percent,+/-3 degree pair,docs/kate_n1_2026/fastsurfer_rotation_stability_report.md,use_as_method_floor_when_input_qc_passes,rotation_pair_cv,2018 synthetic rotation-pair stability; not a direct multi-year accuracy result.
rotation_repeatability,FastSurfer Long,fastsurfer_long_symmetry,subcortical_volumes,cross_median_cv,0.24,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,use_as_method_floor_when_input_qc_passes,rotation_pair_cv,2018 synthetic rotation-pair stability; not a direct multi-year accuracy result.
rotation_repeatability,FastSurfer Long,fastsurfer_long_symmetry,cortical_dkt_parcel_volumes,cross_median_cv,0.36,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,use_as_method_floor_when_input_qc_passes,rotation_pair_cv,2018 synthetic rotation-pair stability; not a direct multi-year accuracy result.
rotation_repeatability,FastSurfer Long,fastsurfer_long_symmetry,hypvinn_volumes,cross_median_cv,1.53,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,use_as_method_floor_when_input_qc_passes,rotation_pair_cv,2018 synthetic rotation-pair stability; not a direct multi-year accuracy result.
rotation_repeatability,FastSurfer Long,fastsurfer_long_symmetry,subcortical_volumes,long_median_cv,0.12,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,use_as_method_floor_when_input_qc_passes,rotation_pair_cv,2018 synthetic rotation-pair stability; not a direct multi-year accuracy result.
rotation_repeatability,FastSurfer Long,fastsurfer_long_symmetry,cortical_dkt_parcel_volumes,long_median_cv,0.10,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,use_as_method_floor_when_input_qc_passes,rotation_pair_cv,2018 synthetic rotation-pair stability; not a direct multi-year accuracy result.
rotation_repeatability,FastSurfer Long,fastsurfer_long_symmetry,hypvinn_volumes,long_median_cv,0.80,percent,sym_rotpos vs sym_rotneg,data/kate_n1_2026/fastsurfer_long_symmetry_volume_cv.csv,use_as_method_floor_when_input_qc_passes,rotation_pair_cv,2018 synthetic rotation-pair stability; not a direct multi-year accuracy result.
registered_spatial_accuracy,SynthSeg,synthseg_2024_3di,registered_source_vs_ffe_consensus,median_dice_p90_hd95_median_volume_error,0.831;22.00;16.33,dice;mm;percent,2024_phi_3di vs trusted registered hard-vote pseudo-GT,data/kate_n1_2026/pseudo_gt_spatial_registered_source_summary.csv,exclude_from_visualization,source_consensus_disagreement,Affine registered pseudo-GT from algorithmic sources; not manual ground truth.
registered_spatial_accuracy,SynthSeg,synthseg_2024_t1ffe_ax,registered_source_vs_ffe_consensus,median_dice_p90_hd95_median_volume_error,0.903;2.00;8.88,dice;mm;percent,2024_phi_t1ffe_ax vs trusted registered hard-vote pseudo-GT,data/kate_n1_2026/pseudo_gt_spatial_registered_source_summary.csv,primary_2024_candidate,source_consensus_disagreement,Affine registered pseudo-GT from algorithmic sources; not manual ground truth.
registered_spatial_accuracy,SynthSeg,synthseg_2024_t1ffe_sag,registered_source_vs_ffe_consensus,median_dice_p90_hd95_median_volume_error,0.903;2.24;10.37,dice;mm;percent,2024_phi_t1ffe_sag vs trusted registered hard-vote pseudo-GT,data/kate_n1_2026/pseudo_gt_spatial_registered_source_summary.csv,primary_2024_candidate,source_consensus_disagreement,Affine registered pseudo-GT from algorithmic sources; not manual ground truth.
