"dataset_id","branch","role","n_subjects","n_sessions_or_images","age_range","modalities","repeat_or_site_design","age_labels","face_reference","brain_reference","access","license_or_dua","local_status","training_overlap_risk","priority","next_action","source_url"
"kate_private_n1","paired","development_qc","1","multiple","adult longitudinal","non-defaced T1; photographs","within-person multi-year","yes","photos and MRI-derived surface","T1 MRI","private","no redistribution","local private","not external; participant used in development","P0","freeze controlled manifest and keep out of Git",""
"simon","brainage; paired_candidate","scanner_longitudinal_stress_test","1","73 sessions; 599+ multi-contrast images","29-46","T1; T2; PD; FLAIR; T2star; DWI; SWI; ASL; fMRI","36 scanners over 15+ years","yes","MRI face coverage requires audit","T1 and multimodal MRI","public","repository terms","local","do not tune; NeuroFM observations below 40 are out of documented range","P0","freeze all original T1 inclusion and QC rules","https://fcon_1000.projects.nitrc.org/indi/retro/SIMON.html"
"srpbs_travelling","brainage","cross_site_robustness","9","411 all-modality sessions; T1 subset","24-32","T1; rs-fMRI; fieldmap","travelling subjects across sites/scanners","yes","not required","T1 MRI","registration","repository acknowledgment terms","local archive","not an age-validation cohort; narrow all-male sample","P0","freeze subject-site manifest and site variance model","https://bicr-resource.atr.jp/srpbsts/"
"maclaren_ds000239","brainage","short_interval_retest","3","120 T1 scans","adult","T1","40 scans per participant on one scanner","yes","unknown; not required","T1 MRI","open download","PDDL","archive extracted and file hashes verified outside Git","check overlap with each model","P1","freeze the subject-session inclusion table and run the locked repeatability protocol","https://openfmri.org/dataset/ds000239/"
"bnu1_test_retest","brainage","test_retest","57","2 T1 sessions per participant","19-30","T1; DTI; rs-fMRI","approximately 6 weeks","yes","unknown; not required","T1 MRI","public NITRC","repository terms","not acquired","component of CoRR/OpenBHB; model-specific audit required","P1","download T1 and phenotype files; hash and validate IDs","https://helab.bnu.edu.cn/DOWNLOADS/Data/index.htm"
"ixi","paired_candidate; brainage","external_age_and_same_scan_candidate","nearly 600","one main session per participant","adult","T1; T2; PD; MRA; DWI","3 London hospitals","yes","raw T1 face coverage to verify","T1 and multimodal MRI","open download","CC BY-SA 3.0","local status to audit","included in OpenBHB and some model training","P1","audit local demographics; defacing; face coverage; overlap","https://brain-development.org/ixi-dataset/"
"openbhb","brainage","multi_site_age_benchmark","5330 total; 3984 public split in earlier release","one selected scan per participant","6-86","preprocessed T1 representations","71 acquisition sites in current description","yes","not a face dataset","T1 MRI derivatives","public benchmark","IEEE DataPort/project terms","not acquired","aggregate contains IXI; CoRR; GSP; ABIDE and other sources","P1","use official split and create component-overlap ledger","https://baobablab.github.io/bhb/dataset"
"camcan","brainage; paired_candidate","external_age_and_outcome","approximately 700 MRI participants","cross-sectional plus rescan phases","18-88","T1; multimodal MRI; MEG; cognition","single primary site with rescan phase","yes","distributed face coverage unknown","T1 and multimodal MRI","application","CamCAN data use conditions","not acquired","used by multiple brain-age papers; check each model","P2","apply and audit defacing and rescan availability","https://cam-can.mrc-cbu.cam.ac.uk/dataset/"
"oasis3","brainage","longitudinal_neurodegeneration","over 1000","longitudinal; multiple modalities","42-95","T1; T2; FLAIR; DWI; ASL; PET; cognition","multi-visit up to long follow-up","yes","likely not suitable until face coverage verified","MRI; PET; clinical and cognitive outcomes","application","OASIS DUA","not acquired","widely used in brain-age development and evaluation","P2","apply; define a non-overlapping evaluation subset","https://sites.wustl.edu/oasisbrains/home/access/"
"nki_rockland","brainage","lifespan_longitudinal_and_health","over 1500 existing; new cohort target 600","hybrid cross-sectional and longitudinal","6-85","T1; T2; DWI; fMRI; EEG; physiology; behaviour","retest and longitudinal components","yes","distributed face coverage unknown","multimodal MRI and phenotypes","DUA/application","NKI-RS DUA","not acquired","used in many models; participant/source audit required","P2","apply for phenotype and MRI access; identify repeat subset","https://rocklandsample.org/for-researchers/rockland-sample-ii-2021-present"
