branch,scope,status,main_output,current_result,next_action,compute_needed
"SynthSeg native cross-scanner","2018, 2022, 2024 and 2024 multi-contrast","done","D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\reprocessed_2026\summary.md","Cross-scanner/protocol spread dominates method floor; 2024 3DI has QC flag in general gray matter.","Keep as contrast-robust volumetry baseline; add visual QC snapshots.","no"
"SynthSeg rotation and TTA","2018 rotation pair and 9-angle sweep","done","outputs/synthseg_rotation_tta_report.md","Median +/-3 degree floor about 1.43%; 9-angle TTA CV about 1.24%; scanner/protocol spread about 12x method floor.","Use in final method-stability conclusion.","no"
"FastSurfer rotation","2018 +/-3 degree pair","done","outputs/fastsurfer_rotation_stability_report.md","Median rotation floor about 1.48%; essentially tied with SynthSeg but with different structure-level errors.","Use in final method-stability conclusion; no rerun unless command provenance is needed.","no"
"FastSurfer Long rotation","2018 +/-3 degree pair with longitudinal base","done","outputs/fastsurfer_long_symmetry_report.md","Subcortical median CV improved 0.24% to 0.12%; DKT cortical volume CV improved 0.36% to 0.10%; HypVINN improved 1.53% to 0.80%.","Add visual QC for base and long timepoints.","no"
"FreeSurfer 7.4.1 longitudinal","2018 + 2022","done","outputs/fs_long_consistency_report.md","Cortical metrics stabilized strongly; subcortical result mixed due 2022 thick slices; 2024 excluded.","Add visual QC for hippocampus, putamen, thalamus, brainmask, white/pial surfaces.","no"
"FreeSurfer 8.2.0 cross + long","2018, 2022, 2024 cross probe","partial_done_2024_stopped","reprocessed_2026\fs82; reprocessed_2026\logs_fs82","2018, 2022, base, 2018.long, and 2022.long completed. 2024_cross_probe was stopped on 2026-06-19 after >48h in mris_fix_topology on lh defect 16; log reports 95 topology defects and large/extra-large defects consistent with skull-strip/WM failure.","Do not restart the same 901_3di_mc_hr FS8 run unchanged. Treat 2024 FS8 surface stream as failure-mode evidence; next tests should use alternative 2024 T1 FFE candidates, ReconAny/recon-all-clinical, TIGERBx, OpenMAP-T1, or harmonized preprocessing.","no"
"ReconAny","2018, 2022, 2024 heterogeneous scans","not_run","planned: reprocessed_2026\reconany","Dev FreeSurfer stream for adult 3D scans of arbitrary orientation/resolution/contrast.","Verify dev build/container, then run and compare rescue of 2024/2022.","yes"
"recon-all-clinical","2022/2024 clinical-style scans","not_run","planned: reprocessed_2026\recon_all_clinical","Available since FS7.4 for arbitrary modality/contrast/resolution; thickness may degrade with thick slices.","Use as fallback if ReconAny dev build is unavailable; apply FS7.4 script fix.","yes"
"Harmonized preprocessing","image-domain and metric-domain harmonization","not_run","planned: reprocessed_2026\harmonized","Needed to separate acquisition effects from algorithm effects.","Build locked preprocessing recipe; do not overwrite raw/native outputs.","yes"
"TIGERBx bmadq","2018, 2022, 2024 3DI, 2024 FFE 401/601","done_first_pass_visual_qc_done","reprocessed_2026\asian_mri_tools\tigerbx; reprocessed_2026\qc_overlays\kate_n1_2026\tigerbx_native","CPU run completed for brain extraction, brain mask, ASEG-like labels, deep-gray labels, QC logs, and native visual QC overlays. tBET mask on 2024 3DI is not a gross whole-brain mask failure, but ASEG/DGM and registered pseudo-GT comparisons remain suspicious for 3DI.","Do not promote 2024 3DI TIGERBx labels. Use 2024 FFE TIGERBx as comparator/QC evidence; primary visualization should prefer FFE-derived consensus/SynthSeg unless later targeted QC changes this.","no"
"BrainFM feature-only foundation branch","2018, 2022, 2024 heterogeneous MRI; 11 BrainFM candidates","done_feature_qc_summary","D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\reprocessed_2026\foundation_models\brainfm; data\kate_n1_2026\brainfm_feature_contrast_summary.csv","Official BrainFM checkpoint verified by SHA256; CPU feature-only run completed on 11 inputs with write_volumes=false. Feature-distance QC summaries show broad protocol sensitivity, especially high distances involving 2022 T1 SE, but these embeddings are not segmentation or morphometry validation evidence.","Use features for protocol-sensitivity/QC prioritization only. Do visual QC and cross-method checks before any anatomical or morphometric claim; keep WRITE_VOLUMES=0 unless disk budget and QC plan justify volume outputs.","no for first pass"
