model_key,source_url,age_head_or_regressor,weights_available,local_path_or_destination,modality,input_branch,official_preprocessing,run_priority,kate_simon_use,scientific_risk,next_action
BrainFM_age_configs,https://huggingface.co/peirong26/BrainFM,"age configs exist, but no public age-head weights found","no separate age checkpoint found; public asset is brainfm_pretrained.pth","D:\projects\02_academia\_external\BrainFM\ckp\brainfm_pretrained.pth","multi-modal MRI foundation model","feature-only QC branch","BrainFM demo preprocessing only; not an age model without a fine-tuned age checkpoint","blocked_for_age","Keep BrainFM as features/QC only, not age prediction","Feature embeddings do not prove age, segmentation, or morphometry quality","Do not run as age until an official age fine-tuned checkpoint is located"
BrainIAC_Brainage_Space,https://huggingface.co/spaces/Divytak/BrainIAC-Brainage-V0,"yes, downstream brain-age checkpoint","yes, already downloaded locally","D:\projects\02_academia\_external\BrainIAC-Brainage-V0\src\BrainIAC\checkpoints\brainage_model_latest.pt","T1-like MRI app branch","existing exploratory branch","Space-specific preprocessing and ambiguous display units; local app divides raw output by 12","P0_done_invalid_for_age_claim","Already ran Kate and SIMON FastSurfer orig.mgz; keep as OOD/protocol sensitivity evidence","Implausible adult ages on SIMON; cannot support Kate age claim","Do not promote; compare against adult-calibrated age models"
MIDIBrainAge_T1_ensemble,https://github.com/MIDIconsortium/BrainAge,"yes, DenseNet age regression ensemble","yes, local T1 and T2 .pt weights","D:\projects\02_academia\faceage-to-brainage\vendor\MIDIBrainAge\Models\T1\Skull_stripped","T1 MRI","official internal-preprocessing branch","HD-BET skull strip, N4/ANTs affine registration to MNI for T1, RAS reorientation, 1.4 mm spacing, crop/pad to 130^3, z-score, clamp -1..5","P1","Best immediate local adult age-head comparator; run Kate plus SIMON subset/full after isolated venv check","Preprocessing writes intermediates and can fail; no raw-T1 model path in upstream run_inference.py","Create isolated WSL venv, smoke test 1 Kate plus 3 SIMON, then batch if QC passes"
BrainAgeNeXt,https://github.com/FrancescoLR/BrainAgeNeXt,"yes, five-model MedNeXt age regression ensemble","yes on Hugging Face model repo","download to D:\projects\02_academia\_external\BrainAgeNeXt","T1 MRI","official preprocessed T1 branch","External preprocessing required: skull stripping, N4 bias correction, affine registration to FSL MNI152; script then resamples/crops to 160x192x160 and z-normalizes foreground","P1","Strong second comparator after official preprocessing is reproducible for Kate and SIMON","Published script applies chronological-age bias correction for adults, so raw and corrected predictions must be separated","Download weights/code, install MedNeXt in isolated venv, run only on documented preprocessed branch"
SynthBA,https://github.com/LemuelPuglisi/SynthBA,"yes, packaged brain-age predictor","yes, package bundles pretrained models","install in isolated WSL venv","multi-contrast MRI","raw robustness branch","Package handles preprocessing; authors claim arbitrary contrast/resolution robustness via domain randomization","P2","Useful raw/no-harmonization robustness comparator on Kate and SIMON","Claims broad robustness but still needs Simon calibration; biological-age wording should not be overclaimed","Install synthba in isolated venv and run small Simon sanity check before full batch"
Westman_brainage_prediction_mri,https://github.com/westman-neuroimaging-group/brainage-prediction-mri,"yes, CNN brain-age tool","yes, release weights listed by upstream","download to D:\projects\02_academia\_external\brainage-prediction-mri","T1 MRI","minimally processed raw-T1 branch","Tool accepts unprocessed T1 NIfTI and performs rigid FSL registration/interpolation; outputs brain_age and scanner-corrected brain_age","P2","Good adult T1 comparator if FSL/nipype setup is available","FSL registration failures can silently make predictions useless; visual QC needed","Clone release, verify weights, install in isolated env with FSL availability, smoke test"
SFCN_UKBiobank_deep_pretrain,https://github.com/ha-ha-ha-han/UKBiobank_deep_pretrain,"yes, SFCN age-bin classifier decoded to expected age","official weight public upstream; not currently local","D:\projects\02_academia\faceage-to-brainage\vendor\SFCN","T1 MRI","UKB-style preprocessed branch","Input shape 160x192x160; mean intensity normalization; local wrapper uses N4, skull strip, affine MNI, crop/pad","P2","Useful benchmark but problematic for SIMON/Kate if ages below model bin range","Official bins are 42.5..81.5, so younger adult predictions are truncated/biased","Download official weight, run only after preprocessing and report age-bin limitation"
ANTsPyNet_brain_age,https://antsx.github.io/ANTsPyNet/docs/build/html/utilities.html#antspynet.utilities.brain_age,"yes, DeepBrainNet architecture/weights via ANTsPyNet","yes, auto-download through ANTsXNet cache","download to isolated ANTsPyNet cache","T1 MRI","ANTs internal preprocessing branch","N4 bias correction, brain extraction, affine registration to MNI can be performed internally with do_preprocessing=True","P2","Good independent implementation of DeepBrainNet-style age predictor","TensorFlow/ANTs dependencies are heavy; output must be checked against Simon before Kate claim","Create isolated venv only if P1/P2 models need another comparator"
DeepBrainNet,https://github.com/vishnubashyam/DeepBrainNet,"yes, Keras HDF5 age model","yes, upstream points to model files and external Box data","download to D:\projects\02_academia\_external\DeepBrainNet if needed","T1 MRI","skull-stripped registered branch","Requires T1 NIfTI, skull stripped and linearly registered","P3","Use via ANTsPyNet first unless direct Keras reproduction is needed","Older Keras stack and external Box dependency increase reproducibility risk","Treat as backup/direct reproduction target"
SisInfLab_BrainAge_DenseNet,https://huggingface.co/SisInfLab-AIBio/BrainAge_DenseNet,"yes, DenseNet-121 regression model","yes, 45.6 MB DenseNet_params.pt on HF","download to D:\projects\02_academia\_external\BrainAge_DenseNet","T1w MRI","OpenBHB quasi-raw branch","OpenBHB quasi-raw T1w undersampled to 91x109x91 with z-score normalization","P3","Possible lightweight comparator if OpenBHB preprocessing can be reproduced","Model card is sparse; preprocessing/orientation details are under-specified","Download only after defining exact resampling and orientation recipe"
